id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,live_energy,lyrical_depth,instrumentalness,spotify_id
55,It Will Rain,Bruno Mars,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0M3HkE321xpCbCYqVKzr1q
56,No Reason,Ryan.B,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,7uwJwSKpmzZH7p7imm4f1P
57,8 Letters,Why Don't We,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,4zRZAmBQP8vhNPf9i9opXt
58,Chit Lu Mike,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7LYqitHnrP8UTiJhVyVPUA
59,Scar,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3CXRMV0ca0Ns3Hp2lWX7ZO
60,Why,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5ZFlmg64ygPIocQ9oiVG3y
61,Sugar Daddy,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3ZFhmCVfbtrfPwUQP64lk2
62,I'm sorry ..Mom,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5EVz7WwcbpoaCSwXip5KYk
63,Yee Sar,He' Lay,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,6nMQg0VcpJQQsskA5o2bIe
64,Lann Thayell,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2nzU0N3R2bwJFRkoY7k0zL
65,NE NE LAY NAK WAYY,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,14js9XFH8vOqtmZ4RdwEyN
66,Nya Alin,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5hqeF4pqbeumd9w4hBhN76
67,ATHAE KO KHWAL TAE MOE - Bossa Nova Version,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,43T3972XkywjT5GOS1jEJT
68,DONUT,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,62lcZj4B1P4QWlo5lhZ9jc
69,Ngar Ma Shi Thaw Nin,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3JMWw8RxFm1j64tHBHh6tU
70,Risk It All,Bruno Mars,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5y2ijHECwFYWqcAHKTZgzD
71,CHANGE,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,1mZYrX9q829BgfW1vgNIHI
72,Time To Say Goodbye,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3IVw3TGoGK4Aj4Z4teE6Lu
73,Soul & Body,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3N7L7GJqdaZamprlK8LddH
74,24/7,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5uSrMmO4HDGW62SnN1LITE
75,Friend Zone,RB2,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,73oewxdXFeRwjBwYa6lgop
76,LiFE,JCZ,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4xytCbzXUf1cCXCj6O6aU3
77,Thar Thar Kyaung Twar Mal,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0Fx0sW408RB6wDdhiQKvmK
78,Hometown,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,1C8dD0UTY8kgN2gZrOQGqC
79,Ngel Ngel Lay Ka Htae Ka,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3TasygenZ94cCPWyIYB4XH
80,မင်းအတွက် (Original Soundtrack of 1994 Movie),Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4WAuAaGQhkLYbGfBazjbGC
81,ညစ်ပေခဲ့သောနှလုံးသားများ,Bunny Phyoe,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,57kq6k18PxUufYze3Lu9SN
82,4 Real,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,5NUk6tFHtdz9AGD5EalG8d
83,MANDALIAN,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,6N0DExMQH4fXX1QI2PhWO3
84,Tate Ta Khoe,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,5pYmkWVBFn4DKz4uC9KGe9
85,အချစ်,BG18,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4MnK6mDT1QtokcKRz9bZ9y
86,143,JCZ,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5GZqPlJ7JUOZFaOcdlPn8J
87,Saung,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,75NFbLmbomqdNGoyuwY571
88,Athel Ko Khwel Dae Moe (Y3ll0 Remix),JCZ,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,1wZ2MQqwj6WlzUGeXLktk9
89,One Day,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0KWKEDqZTbQVVHmfn0VxTY
90,Payphone,Maroon 5,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,1XGmzt0PVuFgQYYnV2It7A
91,Perfect,One Direction,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,3NLnwwAQbbFKcEcV8hDItk
92,we can't be friends (wait for your love),Ariana Grande,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,51ZQ1vr10ffzbwIjDCwqm4
93,Leaf,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,2PA2i9VPPuyKvO1c4XQWnt
94,Eaint Mat Mal,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2TDI0llg49i3lwHeB7EOnD
95,Heaven,Bazzi,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4E2sMWXzxK3uYJerGbeUfp
96,SWIM,BTS,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,68lbSrXDORS51pmyjZv712
97,LDRS,Doublej,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,6CDv3O37sjDMQR683OH1vg
98,Closer,The Chainsmokers,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,7BKLCZ1jbUBVqRi2FVlTVw
99,Hana - Ballad,Fujii Kaze,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,08ldhcNuoqot1mavblvKfc
100,満ちてゆく,Fujii Kaze,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3Ez9uxIM4nwbAZRAdJvBxS
101,ကိုယ့်အနားရှိစေချင်,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,4pVFaRNKscGPM528KO05c0
102,Kyway Par Say,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,4C6LfXgH9DAPcoQoTvtDcg
103,擱淺,Jay Chou,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,0cOMncRq4cmDLO4tPQnkBF
104,Yin Yin Lay Yue,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,6PfDA7ZIcdb6OLL1b74s1X
105,SLOW DANCING IN THE DARK,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,6rY5FAWxCdAGllYEOZMbjW
106,HVN ON EARTH (with Kodak Black),Lil Tecca,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4CIyxiObT9G35HrSItAblR
107,PIXELATED KISSES,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0XpxBV69JUDfqyzrJbndsw
108,我的未來不是夢,EggPlantEgg,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4kb6JFIDtu632WGxB68aCN
109,Thank You (Not So Bad),Dimitri Vegas & Like Mike,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,09CnYHiZ5jGT1wr1TXJ9Zt
110,Kyal Tway Kyway Tine,Wyne Su Khaing Thein,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,2AmyFPZE9eilFmUHYNHT5M
111,ရှင်းပြခွင့်ပေးပါ,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,4PWasRatMCtStltccURvkO
112,Toe Toe Lay Pyaw Par,Phoe Kar,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,4W9Lvx9WgKw2KGXQcfxxKS
113,閣愛妳一擺,EggPlantEgg,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4Zwn8WxD61diTwqv9hyTQA
114,Glimpse of Us,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2mlNgAeIBnL78ZriXgrRHz
115,Die For You,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,00WLowvlN5cjkYpQV6pjo4
116,Lighters,Bad Meets Evil,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,5zpDHEU12zATwLGvozxPw2
117,Lan Khwal,Phoe Kar,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,45FR9bfkeMj9Iz1V8K0z0g
118,YEAH RIGHT,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,52ooD6LHuXFubM6d1CDD93
119,"Radio (ft. Trippie Redd, Jessica Baio & KABU)",Steve Aoki,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5hl6h0tiX1IDrUTql65X7U
120,Like You Do,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,4vgU9MGJwhgBEtlO8mMN49
121,Thu Nge Chin Lay Par Dae',Sai Sai Kham Leng,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,2kHHmpUboDJmBzPkS3IafR
122,NIGHT RIDER,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2KFqsbztZK3J03hOcObLbG
123,D Kha Phit Chit Lite Ya Dar,Zaw Paing,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,1y0VdUiMn7aTURBMpgjuTs
124,1AM FREESTYLE,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7EAQfy8KYXbx2UqNF4envA
125,Shinunoga E-Wa,Fujii Kaze,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0o9zmvc5f3EFApU52PPIyW
126,ATTENTION,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0WRBJ8YRdbS6rwZkCk1Odh
127,From You,Bonobo,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,6t2gHlvw7kTK6M7M5f7S6K
128,အပြစ်မတင်ရက်ပါ (Live),R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,2O6mkkQJ86Pk8eKR92POdr
129,Way Thwar Lal,Big Bag,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,3GSFwq5clRlZzUzL3JG47u
130,Thinking Bout You,rei brown,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,05ZEIO8vJ0zod3WmH3ajTc
131,La Cienega,88rising,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,1EbxyKoc74jf36JkZ31Frx
132,Walking (feat. Swae Lee & Major Lazer),88rising,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,5lpziNlFMw66epACwWSsPH
133,Nga Yae Hlyoh Wat Chat,Phoe Kar,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,38eO64zJzo19h8P0WAHtHQ
134,Will He,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,3O2BsbHOMRtMgDdCoBp1pj
135,Run,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,2r8RwegunaKMYW4pDFEMKM
136,Gimme Love,Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0eF8TYM3rYzdS26URcs4U6
137,Midsummer Madness,88rising,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,0qiMB9VYpBOhTcvi47h4nX
138,Breathe,88rising,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,585XZbRc85WaAlBbvU5Nkc
139,半島鐵盒,Jay Chou,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,24F4oxC8oUBbRvpEOGjwPj
140,worldstar money (interlude),Joji,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,3Y3KY9Apoeet0mYKM5QySi
141,To Thu Ngal Chin,Phyo Pyae Sone,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5jBuH5WgmcTsIJ6S4B4gBd
142,Hnin Wai Tae Saung,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,3AoPUecx5EHGRn3auG9IFn
143,A Chit Sone,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,2yXFx7EmNe5Za2rCLVQWbn
144,Ta Khar Ta Lay,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3KIL7Q1YSbtuCxLuNdUQ2Z
145,Lwal Nay Tae Sone Mhat Myar,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,2ffc2ocB04vjyo91cP3AXS
146,D Ka Pyit Chit Like Ya Tar,Zaw Paing,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,5ig2dEhvmVuExOjBMXSZCp
147,Phyu Nee Pyar War,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,283ld86eTvCralp3NtRct2
148,Ta Yat Tot Ngo Par,Myanmar 1990s Music,pop,chill,0.5,100,0.5,0.5,0.5,50,1990,,0.5,0.5,0.5,4e2I5voE6iuFgmtkXQ0RJV
149,Pa Yi Pa Kha,Myanmar 1990s Music,pop,chill,0.5,100,0.5,0.5,0.5,50,2000,,0.5,0.5,0.5,1roatOHqERZj8I4VzIAoL8
150,Ma Sone Tat Phoo Sar,Y Wine,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,5DCDoDxeC0tuRA0S5b3FLN
151,Not Like Us,Kendrick Lamar,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,6AI3ezQ4o3HUoP6Dhudph3
152,Pan Chit Thu,Toe Khine,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0H7b9N47W6fxanGQfQ45BC
153,BAND4BAND (feat. Lil Baby),Central Cee,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,7iabz12vAuVQYyekFIWJxD
154,Kyay Zuu Par Kwal,Shine,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,3DKNyUl7uQDtUNHwNJLIDj
155,Shwe Lal Tine,R Zar Ni,pop,chill,0.5,100,0.5,0.5,0.5,50,2020,,0.5,0.5,0.5,0gKeMLtrMOU5K2XJ6gOPCo
156,Nay Yae Nae La Yae Nya,Toe Khine,pop,chill,0.5,100,0.5,0.5,0.5,50,2010,,0.5,0.5,0.5,4npvUw77CZZRdyCpw0elJ0
